274 YISHUN ST 22,1.4374525,103.8387148
354 TAMPINES ST 33,1.3548969,103.9624183
151 JLN TECK WHYE,1.3784093,103.7572705
618 CHOA CHU KANG NTH 7,1.4003406,103.7468832
583 PASIR RIS ST 53,1.3757505,103.9470337
411 JURONG WEST ST 42,1.3537701,103.7251608
440 JURONG WEST AVE 1,1.3512991,103.7227207
687A WOODLANDS DR 75,1.4410632,103.8072719
718 BEDOK RESERVOIR RD,1.337161,103.9256829
440 FAJAR RD,1.3835391,103.7699897
506 PASIR RIS ST 52,1.3769001,103.9447601
552 SERANGOON NTH AVE 3,1.3646758,103.8722366
941 HOUGANG ST 92,1.3735793,103.8791686
758 JURONG WEST ST 74,1.3502351,103.7003045
33 TANGLIN HALT RD,1.2965862,103.7984912
240 TAMPINES ST 21,1.3549489,103.9471983
440B FERNVALE LINK,1.3935046,103.8781745
317 HOUGANG AVE 7,1.3652988,103.8963197
660 JLN TENAGA,1.3344959,103.9068372
207 PETIR RD,1.3736882,103.7748334
359B ADMIRALTY DR,1.4494014,103.815128
234 TAMPINES ST 21,1.3559135,103.9482533
171 STIRLING RD,1.2906819,103.8038534
305 BT BATOK ST 31,1.3578601,103.7479682
160 YUNG PING RD,1.329399,103.7214502
527 CHOA CHU KANG ST 51,1.3918654,103.7414522
8 LOR 7 TOA PAYOH,1.337929,103.8567286
94B BEDOK NTH AVE 4,1.3339881,103.9429049
282 TOH GUAN RD,1.3396338,103.7471321
105 SERANGOON NTH AVE 1,1.3702143,103.8701338
113 CLEMENTI ST 13,1.3235584,103.7702387
481 JURONG WEST ST 41,1.3468827,103.7252513
254 SIMEI ST 1,1.3419854,103.9518794
440 ANG MO KIO AVE 10,1.3665005,103.8540989
406 ANG MO KIO AVE 10,1.3620328,103.8538267
690 HOUGANG ST 61,1.3769353,103.8857179
258 ANG MO KIO AVE 4,1.3699729,103.8365253
225 BT BATOK CTRL,1.3493124,103.751807
491E TAMPINES ST 45,1.362443,103.9552563
1 JLN BT MERAH,1.2864913,103.8083538
725 TAMPINES ST 71,1.3569177,103.9352974
471 ANG MO KIO AVE 10,1.3634808,103.8567256
221A BEDOK CTRL,1.3248975,103.9333872
88 C'WEALTH CL,1.352083,103.819836
65 MARINE DR,1.3034544,103.909913
806 YISHUN RING RD,1.417113,103.831165
714 YISHUN ST 71,1.4271337,103.8278692
467 PASIR RIS DR 6,1.3735463,103.9567295
183B BOON LAY AVE,1.3482908,103.7097071
10 JLN KUKOH,1.2869405,103.8390647
554 PASIR RIS ST 51,1.3684042,103.9532392
589D MONTREAL DR,1.4499133,103.8242979
229 SERANGOON AVE 4,1.356053,103.8702752
361 TAMPINES ST 34,1.3558759,103.9626525
508 JELAPANG RD,1.3864423,103.7687676
484C CHOA CHU KANG AVE 5,1.3756701,103.736904
266 TOH GUAN RD,1.3411155,103.7441903
144 BEDOK RESERVOIR RD,1.3351152,103.9124505
505 BT BATOK ST 52,1.3519153,103.7536754
684A JURONG WEST ST 64,1.3440618,103.7039883
33 BEDOK STH AVE 2,1.3228896,103.9390978
311C ANCHORVALE LANE,1.3918147,103.8844303
60 MARINE DR,1.3033473,103.9085596
34 JLN BAHAGIA,1.3270274,103.8577889
203 YISHUN ST 21,1.4307549,103.8366159
146 PASIR RIS ST 11,1.3632918,103.9602878
492 JURONG WEST ST 41,1.3500345,103.7249798
142 YISHUN RING RD,1.4307177,103.8307285
4 SAGO LANE,1.2817753,103.8429707
327 UBI AVE 1,1.3268667,103.9039615
123 SERANGOON NTH AVE 1,1.3668998,103.8723106
520 JURONG WEST ST 52,1.3462006,103.7176518
209 BOON LAY PL,1.3463616,103.7151179
503 JELAPANG RD,1.3845315,103.7664364
312B ANCHORVALE LANE,1.3917261,103.8854866
509 JELAPANG RD,1.3867347,103.7689034
606 ANG MO KIO AVE 5,1.379352,103.8365253
337 HOUGANG AVE 7,1.3697549,103.8983133
210 JURONG EAST ST 21,1.3388218,103.7386464
309C ANCHORVALE RD,1.3908493,103.8858527
126B EDGEDALE PLAINS,1.39459,103.9110005
456 SEGAR RD,1.387737,103.7702041
29 JLN BAHAGIA,1.3254532,103.8591393
21 HOUGANG AVE 3,1.3640994,103.8916756
274 CHOA CHU KANG AVE 2,1.379378,103.742822
402 SERANGOON AVE 1,1.3466157,103.873033
688C CHOA CHU KANG CRES,1.4032512,103.7507755
614 YISHUN ST 61,1.4198451,103.8360951
689A WOODLANDS DR 75,1.4445088,103.8079963
849 WOODLANDS ST 82,1.441304,103.792059
230B TAMPINES ST 24,1.3555331,103.9507009
863 TAMPINES ST 83,1.3554867,103.936347
328 ANG MO KIO AVE 3,1.3666826,103.84785
525 CHOA CHU KANG ST 51,1.3914254,103.7414522
213 MARSILING CRES,1.4464134,103.7718579
288 TAMPINES ST 22,1.3484852,103.9542364
119 ANG MO KIO AVE 3,1.369558,103.8447681
307 JURONG EAST ST 32,1.346539,103.734972
327 CLEMENTI AVE 5,1.3139894,103.7665243
633 WOODLANDS RING RD,1.4356432,103.8024497
114 EDGEFIELD PLAINS,1.3961415,103.9074684
119B KIM TIAN RD,1.2810165,103.8275227
506 SERANGOON NTH AVE 4,1.3702886,103.8716082
107 JURONG EAST ST 13,1.3377342,103.7379228
549A SEGAR RD,1.3898896,103.7685412
